Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ppp1r3f,1342.7115178123347,0.1158651375727599,0.15423044683517304,0.0015700681381281742,0.21988493581199656
Smim10l2a,1407.7155628762166,0.11086102677680935,0.0812996568375058,0.0015621040675938898,0.21988493581199656
Tuba8,618.771366456296,0.11776471927714503,0.17887069771597497,0.0015697699084600031,0.21988493581199656
Zbtb11os1,256.0311495182969,0.11630187637099172,0.17894409382325488,0.0016236416910574457,0.2237503145791857
Col11a2,1260.701854284939,0.1150119262599466,0.20705335903725977,0.001676695004508918,0.22756053792255504
Mesp1,2.5842252986226018,0.04303764573617814,0.4300516238534479,0.0016739861252604872,0.22756053792255504
Akap14,25.852963526024286,-0.09239062668306006,0.2770215690724301,0.0016899554874626305,0.22763573351799268
Dpy19l1,4294.313911156695,-0.11322992237710142,0.17846702772979803,0.0017413539822740802,0.23108412290696403
Stip1,8815.349594631818,-0.10613184758320104,0.06185048291918814,0.0017365994616423586,0.23108412290696403
Hif3a,465.8737058802226,0.0918157533211219,0.27197691406511637,0.001760186708444814,0.23186577118962384
Notch4,418.33483410465027,0.11234863429296629,0.17941792655861602,0.0017776606752946645,0.23245832845185338
Slc27a3,586.429115774731,0.10781273478913557,0.23225935739152193,0.0017983039745434384,0.23345373698511376
Ftsj1,1193.5978435285115,0.10790079382685619,0.08900246587525151,0.0018326641685779907,0.2362027235976597
Pln,44.03316466754995,-0.09147815077592236,0.2651425679142334,0.001851800899068521,0.23696437933437536
Lims2,469.53812512788664,0.10809822869911216,0.12906802554554608,0.0018804597439004774,0.23724250923927503
Mecom,276.648326885415,-0.1099090323415341,0.17319266676187095,0.0018756408434065827,0.23724250923927503
Neto2,5273.174525934331,-0.10723813672782537,0.11138515155909137,0.0019012102862098197,0.23818309284929315
Nlrx1,623.2933845049364,0.1066050378364493,0.09559412097049784,0.0019418681205727246,0.24158727347264142
Alox8,327.1316700425245,-0.1044037954769783,0.11584408625552255,0.002108283000336755,0.24716595428246216
Fam120b,5210.868693504422,-0.10522947452072931,0.0694283295345374,0.002027515519798503,0.24716595428246216
Gm46430,616.7055722239082,-0.10437510128607554,0.11175996624249707,0.0021108786494678598,0.24716595428246216
Hprt,6383.3585009531425,0.10576306604117626,0.07758386818221633,0.0020222166427453685,0.24716595428246216
Mccc1os,136.89378816775022,-0.10527784009026639,0.1849347169132677,0.0020744747127315125,0.24716595428246216
Plin4,515.0678316445819,0.050193174392359444,0.2507967065314717,0.0020931169738133415,0.24716595428246216
Slc2a1,5460.811439037541,0.10504814725498093,0.10721266085893194,0.0020606503475762874,0.24716595428246216
Srgap1,2007.8428650675748,-0.10460154330367455,0.12621585725919898,0.0021001366276788614,0.24716595428246216
Zfas1,532.1765426849624,0.10606891350134336,0.17078290314091865,0.0020536511852083704,0.24716595428246216
Tesc,1782.1822321423008,0.10432415112665894,0.0892888325685487,0.0021565676075903585,0.25087603045442386
Eln,360.0140442870165,0.09559940209955237,0.21445364529155891,0.0023085987106608277,0.2668293283967015
Ccdc190,677.958324960014,-0.10083879474469287,0.1390102954756789,0.0023632029285032214,0.2696610220645555
Rassf9,181.08579555907104,-0.0986469321369491,0.19202067007508872,0.0023488549405233606,0.2696610220645555
Slc16a11,548.6892205101511,0.0951792860630116,0.20520547642219805,0.002407223093595246,0.272945580517461
Slx4ip,751.7465643758136,-0.1003862765490848,0.117382238133233,0.0024226585963065786,0.2729681053637255
Insyn2b,83.75154164039155,-0.08023856841356343,0.23924093146570252,0.0024564015556140365,0.27504021168015913
St6gal2,2343.0275886429777,-0.098785574559495,0.13033370341548176,0.002525877054950672,0.2810626549033621
Rab34,816.0731807753124,0.1009139513361775,0.08522239857091472,0.002546455138338773,0.2816033568107353
Mri1,804.1750088857867,0.09688662912962433,0.1483596127994096,0.0026279701078500014,0.2853338453462592
Mrvi1,179.70392028563995,-0.07816118463639933,0.23343359626254115,0.002618928994220119,0.2853338453462592
Tmem18,2205.2344694056887,0.10114760762366318,0.0710300989323879,0.002600606990625049,0.2853338453462592
Fbxo2,2574.585631965247,0.0968604515255586,0.13790763734201397,0.0026592644720630095,0.2869923073313784
Cela1,62.880669579718074,0.08822631295044785,0.20387760922173415,0.0027263838711884757,0.292474054205638
Marchf4,1656.7902470931115,-0.0963651921174744,0.12311079595797682,0.002752119476470229,0.293477502505739
B230110G15Rik,36.08908641239301,-0.059710457348752286,0.2357630830999868,0.002800631426099372,0.2940748300570932
Calb1,5789.751654459731,-0.09561239020430987,0.12595544444079237,0.002806966002777725,0.2940748300570932
Trim68,289.4311526260086,0.09654548960010176,0.1149338510202046,0.00277674035063323,0.2940748300570932
Cntnap5a,3924.6195359201415,-0.09500118802141448,0.12397799241863153,0.0028726759356448926,0.29747970743975866
Tsnax,8074.392308099236,0.099460356895495,0.06929218572896836,0.0028698110838512488,0.29747970743975866
AB010352,1151.3570630647198,-0.09482538855683789,0.10945527904009963,0.0029928749308974776,0.2995382926649626
Bmx,51.01354498275736,0.086397742297253,0.19552575914187106,0.002924749710588845,0.2995382926649626
Cptp,1334.37011129398,0.09878336732127341,0.07144572437349656,0.0029777748489817272,0.2995382926649626
Fbxo21,11723.783863970864,0.0927304384637738,0.04602396306493738,0.0029450924772278174,0.2995382926649626
Phka2,2434.402133854254,0.0965600531980055,0.09439872544995671,0.0029650605472353237,0.2995382926649626
Xdh,589.8829137932565,0.09063942494689496,0.16977684489045505,0.0029505084344410275,0.2995382926649626
Ptgfr,28.02980054677357,-0.06740437197121993,0.2273504786914553,0.00302897463163197,0.301467114031593
Gm6961,62.811818585270125,0.08680649270939152,0.18404416010357527,0.0030496931633311537,0.301852226635788
