Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Dhcr7,Imprinted,Maternal,KO_M2,2525,KO Male,11.302638923787553
Dhcr7,Imprinted,Maternal,KO_M3,2061,KO Male,11.00982861736811
Dio3,Imprinted,Paternal,WT_M1,29,WT Male,4.906890595608519
Dio3,Imprinted,Paternal,WT_M2,170,WT Male,7.417852514885898
Dio3,Imprinted,Paternal,WT_M3,35,WT Male,5.169925001442312
Dio3,Imprinted,Paternal,WT_F1,164,WT Female,7.366322214245816
Dio3,Imprinted,Paternal,WT_F2,37,WT Female,5.247927513443585
Dio3,Imprinted,Paternal,WT_F3,355,WT Female,8.475733430966399
Dio3,Imprinted,Paternal,HT_F1,615,HT Female,9.266786540694902
Dio3,Imprinted,Paternal,HT_F2,690,HT Female,9.432541900388259
Dio3,Imprinted,Paternal,HT_F3,7,HT Female,3
Dio3,Imprinted,Paternal,KO_M1,139,KO Male,7.129283016944966
Dio3,Imprinted,Paternal,KO_M2,256,KO Male,8.005624549193879
Dio3,Imprinted,Paternal,KO_M3,218,KO Male,7.774787059601174
Dlk1,Imprinted,Paternal,WT_M1,132,WT Male,7.05528243550119
Dlk1,Imprinted,Paternal,WT_M2,364,WT Male,8.51175265376738
Dlk1,Imprinted,Paternal,WT_M3,172,WT Male,7.434628227636725
Dlk1,Imprinted,Paternal,WT_F1,461,WT Female,8.851749041416058
Dlk1,Imprinted,Paternal,WT_F2,128,WT Female,7.011227255423254
Dlk1,Imprinted,Paternal,WT_F3,393,WT Female,8.622051819456376
Dlk1,Imprinted,Paternal,HT_F1,2408,HT Female,11.23421867823847
Dlk1,Imprinted,Paternal,HT_F2,553,HT Female,9.113742166049189
Dlk1,Imprinted,Paternal,HT_F3,39,HT Female,5.321928094887363
Dlk1,Imprinted,Paternal,KO_M1,786,KO Male,9.620219825507487
Dlk1,Imprinted,Paternal,KO_M2,645,KO Male,9.335390354693924
Dlk1,Imprinted,Paternal,KO_M3,375,KO Male,8.554588851677638
Fkbp6,Imprinted,Paternal,WT_M1,0,WT Male,0
Fkbp6,Imprinted,Paternal,WT_M2,5,WT Male,2.584962500721156
Fkbp6,Imprinted,Paternal,WT_M3,8,WT Male,3.169925001442312
Fkbp6,Imprinted,Paternal,WT_F1,1,WT Female,1
Fkbp6,Imprinted,Paternal,WT_F2,0,WT Female,0
Fkbp6,Imprinted,Paternal,WT_F3,2,WT Female,1.584962500721156
Fkbp6,Imprinted,Paternal,HT_F1,6,HT Female,2.807354922057604
Fkbp6,Imprinted,Paternal,HT_F2,0,HT Female,0
Fkbp6,Imprinted,Paternal,HT_F3,1,HT Female,1
Fkbp6,Imprinted,Paternal,KO_M1,0,KO Male,0
Fkbp6,Imprinted,Paternal,KO_M2,13,KO Male,3.807354922057604
Fkbp6,Imprinted,Paternal,KO_M3,4,KO Male,2.321928094887362
Fthl17a,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17a,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17a,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17a,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17a,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17a,Imprinted,Paternal,WT_F3,0,WT Female,0
Fthl17a,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17a,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17a,Imprinted,Paternal,HT_F3,0,HT Female,0
Fthl17a,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17a,Imprinted,Paternal,KO_M2,1,KO Male,1
Fthl17a,Imprinted,Paternal,KO_M3,0,KO Male,0
Fthl17b,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17b,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17b,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17b,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17b,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17b,Imprinted,Paternal,WT_F3,1,WT Female,1
Fthl17b,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17b,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17b,Imprinted,Paternal,HT_F3,0,HT Female,0
Fthl17b,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17b,Imprinted,Paternal,KO_M2,0,KO Male,0
Fthl17b,Imprinted,Paternal,KO_M3,0,KO Male,0
Fthl17c,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17c,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17c,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17c,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17c,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17c,Imprinted,Paternal,WT_F3,0,WT Female,0
Fthl17c,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17c,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17c,Imprinted,Paternal,HT_F3,0,HT Female,0
Fthl17c,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17c,Imprinted,Paternal,KO_M2,0,KO Male,0
Fthl17c,Imprinted,Paternal,KO_M3,0,KO Male,0
Fthl17d,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17d,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17d,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17d,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17d,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17d,Imprinted,Paternal,WT_F3,0,WT Female,0
Fthl17d,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17d,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17d,Imprinted,Paternal,HT_F3,0,HT Female,0
Fthl17d,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17d,Imprinted,Paternal,KO_M2,0,KO Male,0
Fthl17d,Imprinted,Paternal,KO_M3,0,KO Male,0
Fthl17e,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17e,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17e,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17e,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17e,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17e,Imprinted,Paternal,WT_F3,0,WT Female,0
Fthl17e,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17e,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17e,Imprinted,Paternal,HT_F3,0,HT Female,0
Fthl17e,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17e,Imprinted,Paternal,KO_M2,0,KO Male,0
Fthl17e,Imprinted,Paternal,KO_M3,0,KO Male,0
Fthl17f,Imprinted,Paternal,WT_M1,0,WT Male,0
Fthl17f,Imprinted,Paternal,WT_M2,0,WT Male,0
Fthl17f,Imprinted,Paternal,WT_M3,0,WT Male,0
Fthl17f,Imprinted,Paternal,WT_F1,0,WT Female,0
Fthl17f,Imprinted,Paternal,WT_F2,0,WT Female,0
Fthl17f,Imprinted,Paternal,WT_F3,0,WT Female,0
Fthl17f,Imprinted,Paternal,HT_F1,0,HT Female,0
Fthl17f,Imprinted,Paternal,HT_F2,0,HT Female,0
Fthl17f,Imprinted,Paternal,HT_F3,3,HT Female,2
Fthl17f,Imprinted,Paternal,KO_M1,0,KO Male,0
Fthl17f,Imprinted,Paternal,KO_M2,0,KO Male,0
Fthl17f,Imprinted,Paternal,KO_M3,0,KO Male,0
Ftx,Imprinted,Paternal,WT_M1,1425,WT Male,10.477758266443889
Ftx,Imprinted,Paternal,WT_M2,1677,WT Male,10.712527000439824
Ftx,Imprinted,Paternal,WT_M3,1288,WT Male,10.332036548361652
Ftx,Imprinted,Paternal,WT_F1,1582,WT Female,10.62844554013718
Ftx,Imprinted,Paternal,WT_F2,1663,WT Female,10.700439718141093
Ftx,Imprinted,Paternal,WT_F3,1772,WT Female,10.79197682089869
Ftx,Imprinted,Paternal,HT_F1,3643,HT Female,11.831307243802051
Ftx,Imprinted,Paternal,HT_F2,1616,HT Female,10.659103963473662
Ftx,Imprinted,Paternal,HT_F3,1188,HT Female,10.215532999745657
Ftx,Imprinted,Paternal,KO_M1,931,KO Male,9.86418614465428
Ftx,Imprinted,Paternal,KO_M2,1542,KO Male,10.591522346570734
Ftx,Imprinted,Paternal,KO_M3,1473,KO Male,10.52552080909507
