Gene,Status,Expressed_Allele,Sample,Group,Maternal,Paternal,Total_Count,AER,Observed_Expression,log2_total_count
Cd81,Imprinted,Maternal,KO_M3,KO Male,7998,6927,14925,0.07175879396984924,Not Imprinted,13.865539970785697
Cdh15,Imprinted,Paternal,WT_M1,WT Male,46,0,46,1,Maternal,5.554588851677638
Cdh15,Imprinted,Paternal,WT_M2,WT Male,4,97,101,-0.9207920792079208,Paternal,6.672425341971495
Cdh15,Imprinted,Paternal,WT_M3,WT Male,2,39,41,-0.9024390243902439,Paternal,5.392317422778761
Cdh15,Imprinted,Paternal,WT_F1,WT Female,2,68,70,-0.9428571428571428,Paternal,6.149747119504682
Cdh15,Imprinted,Paternal,WT_F2,WT Female,0,61,61,-1,Paternal,5.954196310386875
Cdh15,Imprinted,Paternal,WT_F3,WT Female,3,92,95,-0.9368421052631579,Paternal,6.584962500721156
Cdh15,Imprinted,Paternal,HT_F1,HT Female,8,226,234,-0.9316239316239316,Paternal,7.876516946564999
Cdh15,Imprinted,Paternal,HT_F2,HT Female,31,0,31,1,Maternal,5
Cdh15,Imprinted,Paternal,HT_F3,HT Female,2,83,85,-0.9529411764705882,Paternal,6.426264754702098
Cdh15,Imprinted,Paternal,KO_M1,KO Male,32,0,32,1,Maternal,5.044394119358453
Cdh15,Imprinted,Paternal,KO_M2,KO Male,1,150,151,-0.9867549668874173,Paternal,7.247927513443585
Cdh15,Imprinted,Paternal,KO_M3,KO Male,0,158,158,-1,Paternal,7.312882955284356
Cdkn1c,Imprinted,Maternal,WT_M1,WT Male,493,10,503,0.9602385685884692,Maternal,8.977279923499916
Cdkn1c,Imprinted,Maternal,WT_M2,WT Male,688,57,745,0.8469798657718121,Maternal,9.543031820255237
Cdkn1c,Imprinted,Maternal,WT_M3,WT Male,416,30,446,0.8654708520179372,Maternal,8.804131021183318
Cdkn1c,Imprinted,Maternal,WT_F1,WT Female,1194,25,1219,0.9589827727645611,Maternal,10.252665432450248
Cdkn1c,Imprinted,Maternal,WT_F2,WT Female,133,20,153,0.738562091503268,Maternal,7.266786540694901
Cdkn1c,Imprinted,Maternal,WT_F3,WT Female,654,22,676,0.9349112426035503,Maternal,9.403012023574997
Cdkn1c,Imprinted,Maternal,HT_F1,HT Female,1342,11,1353,0.983739837398374,Maternal,10.403012023574997
Cdkn1c,Imprinted,Maternal,HT_F2,HT Female,265,12,277,0.9133574007220217,Maternal,8.118941072723507
Cdkn1c,Imprinted,Maternal,HT_F3,HT Female,235,32,267,0.7602996254681648,Maternal,8.066089190457772
Cdkn1c,Imprinted,Maternal,KO_M1,KO Male,502,39,541,0.8558225508317929,Maternal,9.08214904135387
Cdkn1c,Imprinted,Maternal,KO_M2,KO Male,158,18,176,0.7954545454545454,Maternal,7.467605550082998
Cdkn1c,Imprinted,Maternal,KO_M3,KO Male,187,7,194,0.9278350515463918,Maternal,7.60733031374961
Chrac1,Imprinted,Maternal,WT_M1,WT Male,139,125,264,0.05303030303030303,Not Imprinted,8.049848549450562
Chrac1,Imprinted,Maternal,WT_M2,WT Male,229,226,455,0.006593406593406593,Not Imprinted,8.832890014164741
Chrac1,Imprinted,Maternal,WT_M3,WT Male,124,71,195,0.2717948717948718,Not Imprinted,7.614709844115208
Chrac1,Imprinted,Maternal,WT_F1,WT Female,165,193,358,-0.0782122905027933,Not Imprinted,8.487840033823051
Chrac1,Imprinted,Maternal,WT_F2,WT Female,143,96,239,0.19665271966527198,Not Imprinted,7.906890595608519
Chrac1,Imprinted,Maternal,WT_F3,WT Female,203,159,362,0.12154696132596685,Not Imprinted,8.50382573799575
Chrac1,Imprinted,Maternal,HT_F1,HT Female,261,275,536,-0.026119402985074626,Not Imprinted,9.068778277985412
Chrac1,Imprinted,Maternal,HT_F2,HT Female,147,164,311,-0.05466237942122187,Not Imprinted,8.285402218862249
Chrac1,Imprinted,Maternal,HT_F3,HT Female,123,122,245,0.004081632653061225,Not Imprinted,7.94251450533924
Chrac1,Imprinted,Maternal,KO_M1,KO Male,116,111,227,0.022026431718061675,Not Imprinted,7.832890014164741
Chrac1,Imprinted,Maternal,KO_M2,KO Male,165,143,308,0.07142857142857142,Not Imprinted,8.271463027904375
Chrac1,Imprinted,Maternal,KO_M3,KO Male,95,166,261,-0.2720306513409962,Not Imprinted,8.03342300153745
Commd1,Imprinted,Maternal,WT_M1,WT Male,656,0,656,1,Maternal,9.35974956032233
Commd1,Imprinted,Maternal,WT_M2,WT Male,613,307,920,0.33260869565217394,Not Imprinted,9.847057346091336
Commd1,Imprinted,Maternal,WT_M3,WT Male,468,0,468,1,Maternal,8.873444112515376
Commd1,Imprinted,Maternal,WT_F1,WT Female,738,0,738,1,Maternal,9.52943055414615
Commd1,Imprinted,Maternal,WT_F2,WT Female,603,0,603,1,Maternal,9.238404739325079
Commd1,Imprinted,Maternal,WT_F3,WT Female,789,0,789,1,Maternal,9.625708843064466
Commd1,Imprinted,Maternal,HT_F1,HT Female,755,252,1007,0.49950347567030784,Not Imprinted,9.977279923499916
Commd1,Imprinted,Maternal,HT_F2,HT Female,611,0,611,1,Maternal,9.257387842692651
Commd1,Imprinted,Maternal,HT_F3,HT Female,579,34,613,0.8890701468189234,Maternal,9.262094845370179
Commd1,Imprinted,Maternal,KO_M1,KO Male,493,0,493,1,Maternal,8.948367231584678
Commd1,Imprinted,Maternal,KO_M2,KO Male,585,0,585,1,Maternal,9.194756854422248
Commd1,Imprinted,Maternal,KO_M3,KO Male,679,0,679,1,Maternal,9.409390936137703
Copg2,Imprinted,Maternal,WT_M1,WT Male,4338,4003,8341,0.040163049994005516,Not Imprinted,13.026177596889225
Copg2,Imprinted,Maternal,WT_M2,WT Male,7674,5166,12840,0.19532710280373833,Not Imprinted,13.648469937061385
Copg2,Imprinted,Maternal,WT_M3,WT Male,2338,3052,5390,-0.13246753246753246,Not Imprinted,12.396337194231098
Copg2,Imprinted,Maternal,WT_F1,WT Female,4881,2828,7709,0.2663121027370606,Not Imprinted,12.912515144802397
Copg2,Imprinted,Maternal,WT_F2,WT Female,2625,4111,6736,-0.2206057007125891,Not Imprinted,12.71789058398728
Copg2,Imprinted,Maternal,WT_F3,WT Female,5058,3639,8697,0.16315971024491205,Not Imprinted,13.086467993464069
Copg2,Imprinted,Maternal,HT_F1,HT Female,5343,5898,11241,-0.04937283159861222,Not Imprinted,13.456611099574918
Copg2,Imprinted,Maternal,HT_F2,HT Female,4906,1862,6768,0.44976359338061467,Not Imprinted,12.724727001534445
Copg2,Imprinted,Maternal,HT_F3,HT Female,4597,3122,7719,0.19108692835859567,Not Imprinted,12.914385132155443
Copg2,Imprinted,Maternal,KO_M1,KO Male,2243,1365,3608,0.2433481152993348,Not Imprinted,11.817383427897232
Copg2,Imprinted,Maternal,KO_M2,KO Male,3992,3060,7052,0.13216108905275098,Not Imprinted,12.784021324374178
Copg2,Imprinted,Maternal,KO_M3,KO Male,4702,2866,7568,0.24260042283298097,Not Imprinted,12.885886991697456
Dact2,Imprinted,Maternal,WT_M1,WT Male,662,725,1387,-0.04542177361211247,Not Imprinted,10.43879185257826
Dact2,Imprinted,Maternal,WT_M2,WT Male,471,1437,1908,-0.5062893081761006,Not Imprinted,10.898601387403938
Dact2,Imprinted,Maternal,WT_M3,WT Male,203,629,832,-0.5120192307692307,Not Imprinted,9.702172685365548
Dact2,Imprinted,Maternal,WT_F1,WT Female,680,808,1488,-0.08602150537634409,Not Imprinted,10.5401280385821
Dact2,Imprinted,Maternal,WT_F2,WT Female,635,628,1263,0.0055423594615993665,Not Imprinted,10.303780748177102
Dact2,Imprinted,Maternal,WT_F3,WT Female,833,735,1568,0.0625,Not Imprinted,10.615629636968098
Dact2,Imprinted,Maternal,HT_F1,HT Female,1391,1251,2642,0.05299015897047691,Not Imprinted,11.36796070964157
Dact2,Imprinted,Maternal,HT_F2,HT Female,318,1002,1320,-0.5181818181818182,Not Imprinted,10.367414751246828
Dact2,Imprinted,Maternal,HT_F3,HT Female,832,841,1673,-0.005379557680812911,Not Imprinted,10.709083812550343
Dact2,Imprinted,Maternal,KO_M1,KO Male,863,799,1662,0.03850782190132371,Not Imprinted,10.699572453287269
Dact2,Imprinted,Maternal,KO_M2,KO Male,737,772,1509,-0.023194168323392977,Not Imprinted,10.560332834212442
Dact2,Imprinted,Maternal,KO_M3,KO Male,333,1123,1456,-0.5425824175824175,Not Imprinted,10.508785162064513
Dcn,Imprinted,Maternal,WT_M1,WT Male,225,223,448,0.004464285714285714,Not Imprinted,8.810571634741146
Dcn,Imprinted,Maternal,WT_M2,WT Male,1050,598,1648,0.27427184466019416,Not Imprinted,10.687375683437468
Dcn,Imprinted,Maternal,WT_M3,WT Male,234,179,413,0.13317191283292978,Not Imprinted,8.693486957499326
Dcn,Imprinted,Maternal,WT_F1,WT Female,862,547,1409,0.22356281050390348,Not Imprinted,10.461479447286155
Dcn,Imprinted,Maternal,WT_F2,WT Female,300,169,469,0.279317697228145,Not Imprinted,8.876516946565
Dcn,Imprinted,Maternal,WT_F3,WT Female,1951,1232,3183,0.22588752748978952,Not Imprinted,11.63662462054365
Dcn,Imprinted,Maternal,HT_F1,HT Female,2539,1672,4211,0.2058893374495369,Not Imprinted,12.040289721025717
Dcn,Imprinted,Maternal,HT_F2,HT Female,4294,2315,6609,0.29944015736117413,Not Imprinted,12.690434556395054
Dcn,Imprinted,Maternal,HT_F3,HT Female,168,155,323,0.04024767801857585,Not Imprinted,8.339850002884624
Dcn,Imprinted,Maternal,KO_M1,KO Male,318,228,546,0.16483516483516483,Not Imprinted,9.095397022792557
Dcn,Imprinted,Maternal,KO_M2,KO Male,1509,963,2472,0.220873786407767,Not Imprinted,11.272046524389937
Dcn,Imprinted,Maternal,KO_M3,KO Male,1160,688,1848,0.2554112554112554,Not Imprinted,10.852529509404196
Ddc,Imprinted,Paternal,WT_M1,WT Male,105,173,278,-0.2446043165467626,Not Imprinted,8.124121311829187
Ddc,Imprinted,Paternal,WT_M2,WT Male,107,384,491,-0.5641547861507128,Not Imprinted,8.94251450533924
Ddc,Imprinted,Paternal,WT_M3,WT Male,161,0,161,1,Maternal,7.339850002884624
Ddc,Imprinted,Paternal,WT_F1,WT Female,150,408,558,-0.46236559139784944,Not Imprinted,9.12670447284319
Ddc,Imprinted,Paternal,WT_F2,WT Female,59,172,231,-0.48917748917748916,Not Imprinted,7.857980995127572
Ddc,Imprinted,Paternal,WT_F3,WT Female,180,354,534,-0.3258426966292135,Not Imprinted,9.06339508128851
Ddc,Imprinted,Paternal,HT_F1,HT Female,462,392,854,0.08196721311475409,Not Imprinted,9.73978060977326
Ddc,Imprinted,Paternal,HT_F2,HT Female,40,312,352,-0.7727272727272727,Paternal,8.46352437327118
Ddc,Imprinted,Paternal,HT_F3,HT Female,56,167,223,-0.4977578475336323,Not Imprinted,7.807354922057604
Ddc,Imprinted,Paternal,KO_M1,KO Male,113,245,358,-0.3687150837988827,Not Imprinted,8.487840033823051
