Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Garem2,1069.7787767421232,0.21893273411827605,0.11955330012576489,3.1744637490822484e-4,0.03327437344715288
Nrsn2,4843.585882275103,0.43677422452300596,0.28070701558613187,3.217716260085872e-4,0.03327437344715288
Sdc4,5568.419852311199,0.3451923447011627,0.21052906554054956,3.232400887484458e-4,0.03327437344715288
Trim71,234.0790766863082,0.4601915175285621,0.29957647827859496,3.187187277782991e-4,0.03327437344715288
Cables1,1572.4576056188191,0.4038492888752019,0.2555096480263421,3.263928703645825e-4,0.033398927585937724
Slc13a5,657.4404169494926,0.3731300686326304,0.2325982495474165,3.2971446693978414e-4,0.0334770486880554
Zfhx2os,245.7996088851555,0.565099140240083,0.4185734370648564,3.3105103117732636e-4,0.0334770486880554
Kcnc4,2405.700416345864,0.42912966276424036,0.27952397677485047,3.4133878035598475e-4,0.033926608281214174
Mlf1,111.14211781854262,-0.7020856391314766,0.6868637173212783,3.4141720857716547e-4,0.033926608281214174
Tspyl3,1692.7518286881843,0.2963997424505471,0.1767963722785885,3.3869078665741266e-4,0.033926608281214174
Arfgap3,936.5330877087519,-0.24132654723916824,0.1374734988227461,3.460799290599948e-4,0.034192299198105576
Laptm4b,4671.782887540161,-0.24166799811472917,0.13923829015992756,3.6405170579963656e-4,0.035762359282294584
Elovl7,1865.853215175843,-0.5961872242670675,0.5011231655003133,3.7354083971985133e-4,0.036279890257762515
Map3k1,1137.9688856777143,-0.19835216056255792,0.1086813284976073,3.7292378631822705e-4,0.036279890257762515
Abhd15,89.5149514036137,0.48793127308943773,0.3503274562220038,3.884880756885057e-4,0.03702844144546016
Ltbp4,4347.125165011156,0.42843902568354325,0.29141440914218403,3.908457078252776e-4,0.03702844144546016
P3h4,614.3881126720013,0.362335460968281,0.23550223737847661,3.9201770362827927e-4,0.03702844144546016
Tcte1,107.96010255300104,0.6387256309417696,0.6063378577940699,3.886756075037262e-4,0.03702844144546016
Zfp853,400.83789491065664,0.5235383254539648,0.39357395915070725,3.873473253463919e-4,0.03702844144546016
Ccdc106,1704.7737759979707,0.38430451424204953,0.25476709073963233,3.985917659576882e-4,0.03724016874227509
Frk,41.85389700696946,-0.7088614390584319,0.8790505054152394,3.9742963976259325e-4,0.03724016874227509
Acad12,111.32946391899888,0.44346061089446465,0.3102892195991788,4.0894773058171914e-4,0.03800119154827208
Minar2,1786.3226096484257,0.37147332275981326,0.25025548204189896,4.3330049297619574e-4,0.04004768158469774
Bex1,789.3276191898871,0.46661869458017,0.34515407682490723,4.434314077801123e-4,0.04054802835716974
Nectin4,516.7992112112844,0.3682759530894257,0.2492342160519895,4.4331856993042816e-4,0.04054802835716974
Dnah8,223.57222616933663,-0.48872685211950095,0.37744310963839295,4.5646179525779285e-4,0.041518702234268345
F9,31.947489958903592,0.6538842835840273,0.8154332307501232,4.709297921801038e-4,0.04201735677879439
Gpr62,628.0655985149384,0.47517453050909114,0.3661706937677296,4.741409962791044e-4,0.04201735677879439
Lgi4,2080.8103880999865,0.2605781329137202,0.16318129754919297,4.7416480804409936e-4,0.04201735677879439
Siglech,750.2482450850689,0.3335238916900657,0.22365871932010045,4.7080726375329346e-4,0.04201735677879439
Ttll5,3263.2454832543194,-0.1770373468789451,0.09711789181196673,4.6531646402910205e-4,0.04201735677879439
Tmem30b,158.69694181896486,0.4911860979016265,0.39502047770983595,4.904238691155376e-4,0.04323526530238568
Krt9,318.4906385400236,0.5780452112565211,0.580042458839854,4.966709156098573e-4,0.04356260056249518
Zfp456,85.38173144915812,-0.5030968059717882,0.421249168710371,5.055445346510459e-4,0.04411581774206158
Ehbp1l1,923.9168765276289,0.43814670066465905,0.3320045462343546,5.106542090858128e-4,0.04433664903229398
Cysltr1,74.90960967735951,-0.5069872438770352,0.4336509371815258,5.160760362221231e-4,0.04450527979416332
Pagr1a,1318.3009020218935,0.3209768363524171,0.21889844217479404,5.177741817714306e-4,0.04450527979416332
Rassf6,20.956017544591568,-0.6179462886346839,0.8738516865385987,5.211277325796055e-4,0.04457068084963183
Asphd1,1074.3045358056486,0.41738554581813947,0.3192933582625417,5.557868418567696e-4,0.04683136933921467
