"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Gm35612_129",-0.000374059743236732,0.0437963231701585,0.578488001812736,0.0080480665787754,"Maternal","active"
"Gm35612_JF1",-0.00122525061132363,NA,0,-0.00840650470748339,"Maternal","imprinted"
"Gnai3_129",-0.000230211110104931,-0.00867670430754556,0.0157443939434869,0.000165920784765889,"Maternal","active"
"Gnai3_JF1",-0.000819321789578611,-0.068657961964354,-0.0588771307700881,-0.000623753501158512,"Maternal","imprinted"
"Gnas_129",-0.000433310152617527,0.0355337183167056,0.0255093856309608,-0.000628790780076722,"Maternal","active"
"Gnas_JF1",-0.00139789196590511,0.00771582394184395,0.0485366806173174,0.000104672106403437,"Maternal","imprinted"
"Grb10_129",-0.00212757930326827,-0.0110760958252861,0.00740124329871051,-0.000254558345522581,"Maternal ",NA
"Grb10_JF1",0.010267283565561,0.0592462024976776,-0.00696965315492445,-0.000217113890987566,"Maternal ",NA
"H13_129",0.000298833096443919,-0.000285719840948519,-0.00247546208258061,0.000705489852239965,"Maternal","active"
"H13_JF1",-0.000504137109693507,0.000336722946623599,-0.00124029226580352,-0.00184195379951084,"Maternal","imprinted"
"Htr2a_129",0.00508209319844886,0.00990313421535156,-0.000887995288622848,0.00869603059867743,"Maternal","active"
"Htr2a_JF1",-0.000644520601982069,0.0103990450138227,0.00976303959164693,-0.00138315385659048,"Maternal","imprinted"
"Hymai_129",-0.0029075139530059,-0.000708676904153831,0.0212377857923996,-0.00131637426824756,"Paternal","imprinted"
"Igf2_129",-0.0018477456477719,-0.0263203429384562,-0.00788332534380482,0.000484318047949888,"Paternal","imprinted"
"Igf2_JF1",-0.00185264419050495,-0.0172190625621828,-0.00433552293762037,0.000373171099318609,"Paternal","active"
"Igf2r_129",-0.0222904495546131,-0.031099925637198,-0.00541516410864081,-0.00365062411713519,"Maternal","active"
"Igf2r_JF1",0.00037417218628137,-0.00500287678937731,-0.00163213057541887,0.000640159790477511,"Maternal","imprinted"
"Impact_129",0.000642946864991699,0.00108864222064902,-0.0308654376613511,-0.000707932857861065,"Paternal","imprinted"
"Impact_JF1",0.0115651442798113,0.119708699131366,-0.00258345161311297,-0.000549464706256014,"Paternal","active"
"Inpp5f_129",-0.00541518707440628,0.0267042367927248,0.0655093206440748,-0.0015618215095631,"Paternal","imprinted"
"Inpp5f_JF1",0.00527640453597336,-0.345187449297315,-0.446226847992265,0.00942184471021117,"Paternal","active"
"Jade1_129",0.00113130307649304,0.0400117822977202,-0.00695237853190326,-0.000966622648341896,"Paternal","imprinted"
"Jade1_JF1",0.000402307825407943,0.027290419871502,0.0164988916658003,5.87951154503749e-05,"Paternal","active"
"Jpx_129",0.000459975883251021,0.0160860592371581,0.757933956734785,0.782009767439727,"Paternal","imprinted"
"Jpx_JF1",0.00073789904987135,0,-9.13747347077591,-9.17755747976858,"Paternal","active"
"Kcnk9_129",0.00356122993676241,0.0283623393233929,-0.0230663424004278,-0.00219616612513962,"Maternal","active"
