"gene_symbol","log2FC_HTF_vs_WTF","padj_HTF_vs_WTF","log2FC_KOM_vs_WTM","padj_KOM_vs_WTM","log2FC_KOM_vs_HTF","padj_KOM_vs_HTF","log2FC_WTM_vs_WTF","padj_WTM_vs_WTF","expressed_allele","allele_status"
"Snx14_129",0.000389799782906804,1,0.0352088000516447,0.869378261752139,-0.0781903189618736,0.401601703458452,-0.0299047456713879,0.174433855161708,"Paternal","imprinted"
"Snx14_JF1",-0.000774610187429972,1,-0.069041240492284,0.554386656699051,-0.0087208410514657,0.994799281013691,0.00136476543876088,1,"Paternal","active"
"Th_129",-0.00177373915999576,1,0.00032232622679391,1,0.00708828817798717,0.98214641077938,-0.00640551471701732,1,"Maternal","active"
"Th_JF1",0.0164416844347554,NA,0,NA,-0.0934381602797848,NA,0,NA,"Maternal","imprinted"
"Thbs2_129",-0.00154899943486936,1,-0.0671380621903298,0.330608849912512,-0.00455497200534503,0.995914032177077,0.00986934724188365,1,"Maternal","active"
"Thbs2_JF1",-0.0023848077546756,1,-0.0308782377066624,0.659026215806691,-0.00264545406213569,1,0.000997142628148897,1,"Maternal","imprinted"
"Tnfrsf22_129",-0.00533179275728552,1,-0.0306434882753065,0.719994751804422,0.00147007694841219,1,-0.00120841382433021,1,"Maternal","active"
"Tnfrsf22_JF1",0.00234348421164488,1,0.000795233422494007,1,-0.00915518040471295,0.990896051786136,0.00411674126177361,1,"Maternal","imprinted"
"Trappc9_129",-0.000909629319767145,1,0.0110637166985169,0.97349618061041,0.0285793748235634,0.88441482245104,-0.000111359980040297,1,"Maternal","active"
"Trappc9_JF1",0.000151503729658919,1,0.0510729835000779,0.740887891111357,0.0504337448133154,0.732888778835215,0.000118438080014602,1,"Maternal","imprinted"
"Tssc4_129",-0.000870155364551761,1,0.0129003892225054,0.952294866558633,0.0296636457098515,0.835814534068026,9.41255494847526e-05,1,"Maternal","active"
"Tssc4_JF1",0.000290378004038319,1,0.0647697564403181,0.525674000494341,0.0188616668178718,0.932343080481764,-0.00278102444437519,1,"Maternal","imprinted"
"Ube3a_129",0.00161070094773955,1,0.00334505074218684,1,-0.0249823318322562,0.932343080481764,0.000167679950094633,1,"Maternal","active"
"Ube3a_JF1",-0.00122677615015587,1,-0.0263072679813751,0.889483696603556,-0.0151353792719768,0.970153425919621,-0.000662419082015013,1,"Maternal","imprinted"
"Usp29_129",-0.000349041601493154,1,0.00281493666421286,0.997529065174928,0.00583473996818959,0.995867220839175,-0.000321731412279126,1,"Paternal","imprinted"
"Usp29_JF1",0.00222547083425401,1,0.0145524694015114,0.939156337690537,-0.0205452084491129,0.917669213722045,-0.000840500871183698,1,"Paternal","active"
"Xist_129",-0.000129737138292017,1,-0.00676334285318965,0.925586078823067,-10.8295339989512,7.57613208543657e-16,-9.98049303169952,7.15996957293725e-14,"Paternal","imprinted"
"Xist_JF1",0.00025085695794253,1,0,1,-16.9102203525345,7.72598204716418e-41,-17.0867572868218,6.48356909415746e-42,"Paternal","active"
"Xlr3b_129",0.00428844740644511,1,0.0099660162087892,0.90877136481265,-0.000747409732237482,1,0.00905662126721763,1,"Maternal","active"
"Xlr3b_JF1",-0.00232068090500037,1,0,NA,-0.0120596610893566,0.994799281013691,-0.0440461318223457,1,"Maternal","imprinted"
"Zdbf2_129",0.0002767734252779,1,0.00523062698534368,NA,0.000706605503029883,1,-0.00825985768212604,1,"Paternal","imprinted"
"Zdbf2_JF1",0.00213213526079834,1,0.189250731178998,0.113916322694504,0.0090766166779894,0.989400818142494,-0.0086163709446287,1,"Paternal","active"
"Zfp64_129",0.00171882302437971,1,-0.0010771513916942,1,-0.0191419519113114,0.940726759415846,0.000443007836693022,1,"Paternal","imprinted"
"Zfp64_JF1",-0.00014156441554774,1,-0.0229868079184393,0.891909419229427,-0.0141645807390437,0.964836857706893,0.000306077411432516,1,"Paternal","active"
"Zim1_129",0.00293665428724761,1,0.00934150926828223,0.928826792129916,-0.0284407623605726,0.762083227717176,-0.00442866793337089,1,"Maternal","active"
"Zim1_JF1",-0.000746606671557928,1,-0.0181726563754038,0.892938681766188,-0.0436411076463998,0.675859481390502,-0.00756552487297715,1,"Maternal","imprinted"
"Zrsr1_129",-0.000866666178823195,1,-0.00851808268336966,NA,-0.0156256544110815,0.989400818142494,0.00408305578328001,1,"Paternal","imprinted"
"Zrsr1_JF1",0.000161835079269343,1,0.0998098342889829,0.349652889748408,0.0527499341383526,0.712574752257697,-0.000235867086459083,1,"Paternal","active"
