Gene_Name,10_S254,11_S255,12_S256,1_S245,2_S246,3_S247,4_S248,5_S249,6_S250,7_S251,8_S252,9_S253
Dusp8,9551,7521,10459,10140,18236,11652,11372,11734,17096,10987,10122,12749
Dusp9,4,4,3,19,32,36,14,6,17,6,20,25
Dut,910,806,1056,1095,1588,1004,1179,1087,1570,992,945,1189
Duxbl1,0,0,0,0,0,0,0,0,0,0,0,0
Duxbl2,0,0,0,0,0,0,0,0,0,0,0,0
Duxbl3,0,0,0,0,0,0,0,0,0,0,0,0
Dvl1,3510,3133,3988,4215,8022,3994,4312,4110,6198,3598,3881,4564
Dvl2,708,721,896,1008,1935,935,965,874,1151,717,869,1149
Dvl3,3091,3500,4849,4842,7282,4300,4033,4552,7109,3821,4079,5038
Dxo,582,513,700,764,1221,708,786,750,1036,616,657,822
Dydc1,0,0,2,4,3,0,0,0,2,0,2,0
Dydc2,94,104,28,208,216,75,44,134,176,65,48,146
Dym,1874,2526,3293,3544,5714,3063,3325,3535,5231,3522,2947,3789
Dynap,0,0,1,1,5,5,0,0,1,0,1,0
