Gene_Allele,KO_M1,WT_M3,KO_M2,WT_F1,HT_F1,HT_F2,KO_M3,WT_M1,WT_M2,HT_F3,WT_F2,WT_F3,Allele_Source,Gene,Status,Expressed_Allele
Mir296_129,0,0,0,0,0,1,0,0,0,0,0,0,Maternal,Mir296,Imprinted,Paternal
Mir296_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Mir296,Imprinted,Paternal
Mirg_129,10,681,19,13,2117,889,16,528,5,6,635,17,Maternal,Mirg,Imprinted,Maternal
Mirg_JF1,360,4,796,552,4,0,656,0,658,323,0,711,Paternal,Mirg,Imprinted,Maternal
Mkrn3_129,28,26,42,40,60,29,48,49,67,25,48,44,Maternal,Mkrn3,Imprinted,Paternal
Mkrn3_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Mkrn3,Imprinted,Paternal
Nap1l4_129,2139,1949,2621,2751,4577,2601,2809,2307,4564,2824,2072,2995,Maternal,Nap1l4,Imprinted,Maternal
Nap1l4_JF1,1363,1358,2018,2519,3736,2212,2090,2390,2936,1651,2149,2665,Paternal,Nap1l4,Imprinted,Maternal
Nap1l5_129,0,0,45,0,0,0,0,0,29,0,0,0,Maternal,Nap1l5,Imprinted,Paternal
Nap1l5_JF1,7687,6127,10773,8846,21148,11520,11713,8795,13566,7591,8677,11658,Paternal,Nap1l5,Imprinted,Paternal
Nctc1_129,0,0,1,0,0,0,0,0,0,0,0,0,Maternal,Nctc1,Imprinted,Paternal
Nctc1_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Nctc1,Imprinted,Paternal
Ndn_129,15,0,0,0,13,27,27,0,0,0,0,0,Maternal,Ndn,Imprinted,Paternal
Ndn_JF1,9201,7159,11767,10594,21885,10754,11722,8497,16676,8674,9156,12834,Paternal,Ndn,Imprinted,Paternal
Nlrp2_129,0,0,0,0,0,0,0,0,0,0,0,0,Maternal,Nlrp2,Imprinted,Maternal
Nlrp2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Nlrp2,Imprinted,Maternal
Nnat_129,0,84,0,1,8,9,1508,1,4,2,182,6,Maternal,Nnat,Imprinted,Paternal
Nnat_JF1,9786,11098,16606,16267,26815,18796,15827,10934,20713,8447,15555,18052,Paternal,Nnat,Imprinted,Paternal
Pde10a_129,1280,2154,2778,2265,4897,2360,3075,2902,4896,3085,2179,2927,Maternal,Pde10a,Imprinted,Maternal
Pde10a_JF1,2916,2888,4439,4274,6839,4334,4318,5013,6967,5555,3512,4732,Paternal,Pde10a,Imprinted,Maternal
Peg10_129,0,0,0,0,1585,0,5,0,70,0,0,0,Maternal,Peg10,Imprinted,Paternal
Peg10_JF1,2504,775,5937,2904,10884,1426,3338,1393,3437,1098,960,3504,Paternal,Peg10,Imprinted,Paternal
Peg12_129,22,5,24,12,29,17,16,12,23,12,15,13,Maternal,Peg12,Imprinted,Paternal
Peg12_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Peg12,Imprinted,Paternal
