Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Hacd1_129,207.63115147687034,171.3188911445377,242.5005872405726,203.64809090496206,181.53336619689284,238.12297577003784,211.95899342501428,201.25287932817955,210.823311898431,156.13424692788837,245.99843993661977,191.10510671481973
Hacd1_JF1,138.74418065977784,177.226439115039,162.13702053875494,187.394487405505,184.91597550490948,154.648131865412,188.27303140903848,184.1249747045047,133.48611708141863,133.61488439021215,180.819366107259,128.0704380078373
Hacd2_129,1251.6083430147792,1543.839202957673,1504.3495731726218,1292.6395253685855,1394.76257133886,1397.105282193211,1209.8060598929183,1357.3864414262323,1490.5949740758413,1426.2262940528265,1551.6824672925247,1427.7852737279986
Hacd2_JF1,1844.4243876520118,1683.6511715928705,1574.8439299286022,1606.238463475757,1790.5278603768065,1834.6892007669335,1775.8398188388016,2017.881263476694,2003.3511698489096,1092.9397284952186,1769.2964718518422,1810.9960374545742
Hacd3_129,5746.725748586463,6084.118015397394,6025.857615501205,5917.267768125869,6008.641667473553,5967.13331532962,5768.442749429186,5982.9911838574235,6041.835918375638,4289.187918009395,6239.319406084779,6611.636362154601
Hacd3_JF1,6586.952744749873,6635.489159310849,6498.169805766273,6761.499055774139,7180.152024483315,6540.034349285578,6837.955034304401,7680.794729679194,7252.745694757078,6222.850514577858,6952.08411667037,6276.452012680964
Hacd4_129,198.89900024653468,238.92749569583034,172.00623048459218,223.72607169840902,138.6869816286821,212.64118131494152,197.3830167997984,173.42003431470792,128.1890489432671,114.0981035242261,189.2295691820152,152.0836451343068
Hacd4_JF1,0,0,0,0,0,0,0,0,0,0,0,0
Hace1_129,1644.5551483798843,1456.5387718380427,1627.0097539280277,1533.575294889949,1545.852453763603,1692.3426248453611,1566.3101548513234,1383.0782983617446,2111.4113598672006,1184.5184694817685,1685.19444110428,1693.9316527130354
Hace1_JF1,1552.3824409485635,1629.8268456394142,1525.497880199416,1489.5949560090653,1536.8321622755586,1337.3548676088471,1684.7399649312024,1428.0390479988912,1558.3974462441809,1198.030087004374,1396.0937104095344,1405.7731671954016
Hacl1_129,214.4228246560203,195.6054772454875,156.4974719982765,219.90169440441912,113.88118003656011,217.9132767194442,188.88036376842248,147.72817737919564,132.42670345378832,177.15231862971947,144.02472765520048,115.06328414766632
