Gene_Allele,Allele_Source,Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Calcr_129,Maternal,Calcr,Imprinted,Maternal,HT_F3,1,HT Female,1
Calcr_129,Maternal,Calcr,Imprinted,Maternal,KO_M1,47,KO Male,5.584962500721156
Calcr_129,Maternal,Calcr,Imprinted,Maternal,KO_M2,14,KO Male,3.9068905956085187
Calcr_129,Maternal,Calcr,Imprinted,Maternal,KO_M3,3,KO Male,2
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_M1,0,WT Male,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_M2,0,WT Male,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_M3,0,WT Male,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_F1,0,WT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_F2,0,WT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,WT_F3,0,WT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,HT_F1,0,HT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,HT_F2,0,HT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,HT_F3,0,HT Female,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,KO_M1,0,KO Male,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,KO_M2,0,KO Male,0
Calcr_JF1,Paternal,Calcr,Imprinted,Maternal,KO_M3,0,KO Male,0
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_M1,78,WT Male,6.303780748177103
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_M2,139,WT Male,7.129283016944966
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_M3,59,WT Male,5.906890595608519
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_F1,208,WT Female,7.7073591320808825
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_F2,96,WT Female,6.599912842187128
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,WT_F3,82,WT Female,6.3750394313469245
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,HT_F1,274,HT Female,8.103287808412022
